"SurveyID","R0.report","HostName","R_i.report"
1,"1.21 (1.04, 1.39)","Goat/sheep","1.13 (0.9, 1.35)"
1,"1.21 (1.04, 1.39)","Cattle","0.55 (0.11, 0.93)"
1,"1.21 (1.04, 1.39)","Poultry","0.59 (0.13, 0.94)"
1,"1.21 (1.04, 1.39)","Dog","0.54 (0.06, 0.93)"
1,"1.21 (1.04, 1.39)","Pig","0.6 (0.2, 0.94)"
1,"1.21 (1.04, 1.39)","Rodent","0.64 (0.14, 0.95)"
2,"1.48 (1.17, 1.63)","Goat/sheep","0.35 (0.13, 0.84)"
2,"1.48 (1.17, 1.63)","Cattle","0.28 (0.03, 0.84)"
2,"1.48 (1.17, 1.63)","Poultry","1.47 (1.17, 1.62)"
2,"1.48 (1.17, 1.63)","Dog","0.28 (0.05, 0.84)"
2,"1.48 (1.17, 1.63)","Pig","0.28 (0.02, 0.84)"
3,"1.25 (1.07, 1.34)","Goat/sheep","0.35 (0.11, 0.87)"
3,"1.25 (1.07, 1.34)","Cattle","0.3 (0.05, 0.87)"
3,"1.25 (1.07, 1.34)","Poultry","1.23 (1.07, 1.33)"
3,"1.25 (1.07, 1.34)","Dog","0.3 (0.06, 0.87)"
3,"1.25 (1.07, 1.34)","Pig","0.3 (0.03, 0.87)"
4,"1.41 (1.17, 1.61)","Goat/sheep","0.39 (0.16, 0.83)"
4,"1.41 (1.17, 1.61)","Cattle","0.28 (0.03, 0.82)"
4,"1.41 (1.17, 1.61)","Poultry","1.39 (1.16, 1.6)"
4,"1.41 (1.17, 1.61)","Dog","0.29 (0.05, 0.82)"
4,"1.41 (1.17, 1.61)","Pig","0.28 (0.01, 0.82)"
5,"1.02 (1.01, 1.07)","Goat/sheep","0.25 (0.06, 0.86)"
5,"1.02 (1.01, 1.07)","Poultry","0.62 (0.23, 0.97)"
5,"1.02 (1.01, 1.07)","Dog","0.27 (0.04, 0.86)"
5,"1.02 (1.01, 1.07)","Pig","0.3 (0.07, 0.86)"
5,"1.02 (1.01, 1.07)","Rodent","0.8 (0.33, 1)"
5,"1.02 (1.01, 1.07)","Hedgehog","0.52 (0.11, 0.96)"
6,"2.53 (1.42, 4.2)","Goat/sheep","1.13 (0.8, 1.91)"
6,"2.53 (1.42, 4.2)","Cattle","2.32 (1.29, 4.03)"
6,"2.53 (1.42, 4.2)","Dog","0.81 (0.36, 1.06)"
6,"2.53 (1.42, 4.2)","Pig","0.71 (0.09, 0.95)"
6,"2.53 (1.42, 4.2)","Rodent","0.71 (0.12, 0.95)"
7,"1.29 (1.03, 1.61)","Goat/sheep","1.2 (1.01, 1.58)"
7,"1.29 (1.03, 1.61)","Cattle","0.6 (0.08, 0.97)"
7,"1.29 (1.03, 1.61)","Poultry","0.63 (0.14, 0.97)"
7,"1.29 (1.03, 1.61)","Dog","0.6 (0.07, 0.97)"
7,"1.29 (1.03, 1.61)","Pig","0.61 (0.12, 0.97)"
7,"1.29 (1.03, 1.61)","Rodent","0.74 (0.34, 0.99)"
7,"1.29 (1.03, 1.61)","Hedgehog","0.61 (0.14, 0.97)"
8,"1.02 (1.01, 1.07)","Goat/sheep","0.53 (0.16, 0.96)"
8,"1.02 (1.01, 1.07)","Poultry","0.96 (0.65, 1.02)"
8,"1.02 (1.01, 1.07)","Dog","0.4 (0.08, 0.91)"
8,"1.02 (1.01, 1.07)","Pig","0.38 (0.07, 0.88)"
9,"1.31 (1.1, 1.5)","Goat/sheep","0.67 (0.35, 1.06)"
9,"1.31 (1.1, 1.5)","Cattle","0.64 (0.35, 0.96)"
9,"1.31 (1.1, 1.5)","Poultry","1 (0.87, 1.11)"
9,"1.31 (1.1, 1.5)","Dog","0.47 (0.15, 0.84)"
9,"1.31 (1.1, 1.5)","Pig","0.39 (0.05, 0.84)"
9,"1.31 (1.1, 1.5)","Rodent","0.44 (0.15, 0.84)"
9,"1.31 (1.1, 1.5)","Hedgehog","0.59 (0.27, 0.89)"
9,"1.31 (1.1, 1.5)","Weasel","0.43 (0.12, 0.85)"
9,"1.31 (1.1, 1.5)","Hare","0.5 (0.2, 0.85)"
