"variable","importance","rep"
"mu_T",0.0330277730055226,1
"phi",0.107618690202967,1
"chi_H",0.217281691583621,1
"beta",0.221268341238976,1
"gamma_H",0.0110208443580722,1
"sigma_H",0.0348546572801956,1
"mu_H",0.0757643175297674,1
"v_H",0.0137399862342114,1
"mu_T",0.0333098069982766,2
"phi",0.108036976875066,2
"chi_H",0.219513556998994,2
"beta",0.219890709027928,2
"gamma_H",0.0116757683356467,2
"sigma_H",0.0353428940794851,2
"mu_H",0.0781523954726716,2
"v_H",0.0135067601176519,2
"mu_T",0.0326902119282782,3
"phi",0.108466771255055,3
"chi_H",0.216586892890406,3
"beta",0.219412050870273,3
"gamma_H",0.0114385240103795,3
"sigma_H",0.034219022959445,3
"mu_H",0.0765430517281893,3
"v_H",0.0130222115720652,3
"mu_T",0.0326023839847325,4
"phi",0.106956359891281,4
"chi_H",0.217210916967704,4
"beta",0.223198637563298,4
"gamma_H",0.0110758002188064,4
"sigma_H",0.0344014689796945,4
"mu_H",0.0727940278094105,4
"v_H",0.0130311185161665,4
"mu_T",0.0321992113207859,5
"phi",0.107973249907212,5
"chi_H",0.222632785879588,5
"beta",0.219112651482468,5
"gamma_H",0.011469286678234,5
"sigma_H",0.0340592257047117,5
"mu_H",0.0736091632137666,5
"v_H",0.013385765833781,5
"mu_T",0.032819298039624,6
"phi",0.108408630734171,6
"chi_H",0.216096882614833,6
"beta",0.221415657015995,6
"gamma_H",0.0113355384148144,6
"sigma_H",0.0345250771797323,6
"mu_H",0.0739787349877654,6
"v_H",0.012926716529754,6
"mu_T",0.0326824453487041,7
"phi",0.107241563790364,7
"chi_H",0.217263797867693,7
"beta",0.220567318663675,7
"gamma_H",0.0109047871444798,7
"sigma_H",0.0337451030140906,7
"mu_H",0.075452326920812,7
"v_H",0.0131354344181248,7
"mu_T",0.0325547167614194,8
"phi",0.108942427975702,8
"chi_H",0.215355061692847,8
"beta",0.219170909532362,8
"gamma_H",0.0112858825175771,8
"sigma_H",0.0346968493263231,8
"mu_H",0.0761504523882265,8
"v_H",0.0129778727276001,8
