SurveyID,References,Survey year,Locations,Host species,n_positive,n,prev,N
1,Zhang 2011,2010,"Yixing, Liyang, Lishui, Jiangning, Xuyi, and Donghai counties of Jiangsu Province",Goat/sheep,49,85,57.65,303500
1,Zhang 2011,2010,"Yixing, Liyang, Lishui, Jiangning, Xuyi, and Donghai counties of Jiangsu Province",Cattle,29,90,32.22,67100
1,Zhang 2011,2010,"Yixing, Liyang, Lishui, Jiangning, Xuyi, and Donghai counties of Jiangsu Province",Poultry,3,359,0.84,16431240
1,Zhang 2011,2010,"Yixing, Liyang, Lishui, Jiangning, Xuyi, and Donghai counties of Jiangsu Province",Dog,8,125,6.4,298478
1,Zhang 2011,2010,"Yixing, Liyang, Lishui, Jiangning, Xuyi, and Donghai counties of Jiangsu Province",Pig,12,225,5.33,1310400
1,Zhang 2011,2010,"Yixing, Liyang, Lishui, Jiangning, Xuyi, and Donghai counties of Jiangsu Province",Rodent,0,47,0,23567550
2,Niu 2013,2011,"Laizhou Prefecture, Shandong Province",Goat/sheep,142,205,69.27,63700
2,Niu 2013,2011,"Laizhou Prefecture, Shandong Province",Cattle,233,433,53.81,14700
2,Niu 2013,2011,"Laizhou Prefecture, Shandong Province",Poultry,149,261,57.09,4700000
2,Niu 2013,2011,"Laizhou Prefecture, Shandong Province",Dog,70,182,38.46,132000
2,Niu 2013,2011,"Laizhou Prefecture, Shandong Province",Pig,3,426,0.7,498000
3,Niu 2013,2011,"Penglai Prefecture, Shandong Province",Goat/sheep,186,267,69.66292135,25000
3,Niu 2013,2011,"Penglai Prefecture, Shandong Province",Cattle,276,409,67.48166259,6900
3,Niu 2013,2011,"Penglai Prefecture, Shandong Province",Poultry,101,266,37.96992481,8220000
3,Niu 2013,2011,"Penglai Prefecture, Shandong Province",Dog,66,177,37.28813559,126000
3,Niu 2013,2011,"Penglai Prefecture, Shandong Province",Pig,23,413,5.569007264,228000
4,Ding 2014,2011,"Laizhou Prefecture, Shandong Province",Goat/sheep,83,111,74.77,63700
4,Ding 2014,2011,"Laizhou Prefecture, Shandong Province",Cattle,105,184,57.07,14700
4,Ding 2014,2011,"Laizhou Prefecture, Shandong Province",Poultry,61,117,52.14,4700000
