LocationID,Location,Long,Lat,Ref
1,"Jiangning County, Jiangsu Province",118.84714,31.957792,Zhang 2011
1,"Lishui County, Jiangsu Province",119.0367,31.657529,Zhang 2011
1,"Liyang County, Jiangsu Province",119.493228,31.421363,Zhang 2011
1,"Yixing County, Jiangsu Province",119.83161,31.343697,Zhang 2011
1,"Xuyi County, Jiangsu Province",118.552019,33.018013,Zhang 2011
1,"Donghai County, Jiangsu Province",118.772212,34.541971,Zhang 2011
2,"Laizhou Prefecture, Shandong Province",119.948597,37.186547,Niu 2013a
3,"Penglai Prefecture, Shandong Province",120.796445,37.809932,Niu 2013b
4,"Laizhou Prefecture, Shandong Province",119.948597,37.186547,Ding 2014
5,"Wuxi Prefecture, Jiangsu Province",120.322606,31.496593,Xu 2014
6,"Shangcheng County, Henan Province",115.409486,31.804591,Du 2014
6,"Guangshan County, Henan Province",114.924383,32.015172,Du 2014
7,"Jiangning County, Jiangsu Province",118.84714,31.957792,Li 2014
7,"Lishui County, Jiangsu Province",119.0367,31.657529,Li 2014
7,"Liyang County, Jiangsu Province",119.493228,31.421363,Li 2014
7,"Yixing County, Jiangsu Province",119.83161,31.343697,Li 2014
7,"Xuyi County, Jiangsu Province",118.552019,33.018013,Li 2014
7,"Donghai County, Jiangsu Province",118.772212,34.541971,Li 2014
8,"Yixing County, Jiangsu Province",119.83161,31.343697,Tan 2015
9,"Pingqiao District, Henan Province",114.131835,32.108059,Huang 2019
9,"Xin County, Henan Province",114.886097,31.651952,Huang 2019
